BLK 117 ALJUNIED AVENUE 2,01-68,6.00,COOKED FOOD,"$1,901.00",Aug-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-70,6.00,COOKED FOOD,"$1,650.00",Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-70,6.00,COOKED FOOD,"$1,899.00",May-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-70,6.00,COOKED FOOD,"$1,909.00",Oct-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-72,6.00,COOKED FOOD,"$1,809.00",Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-72,6.00,COOKED FOOD,"$1,818.00",Jun-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-72,6.00,COOKED FOOD,"$1,850.00",Dec-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-72,6.00,COOKED FOOD,"$2,002.00",Jun-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-72,6.00,COOKED FOOD,"$1,808.00",Jan-2017
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-75,6.00,COOKED FOOD,"$1,816.00",Jul-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-75,6.00,HALAL COOKED FOOD,$300.00,Nov-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-75,6.00,COOKED FOOD,"$2,199.00",May-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-75,6.00,COOKED FOOD,"$1,600.00",Aug-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-76,6.00,HALAL COOKED FOOD,$388.00,Nov-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-76,6.00,HALAL COOKED FOOD,$400.00,Jun-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-76,6.00,COOKED FOOD,"$1,721.00",Mar-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-77,6.00,HALAL COOKED FOOD,$655.00,Oct-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-77,6.00,HALAL COOKED FOOD,$800.00,Sep-2015
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-77,6.00,COOKED FOOD,"$1,308.00",Jun-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-37,6.00,HALAL COOKED FOOD,"$1,701.00",Nov-2014
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-48,6.00,COOKED FOOD,"$2,088.00",Apr-2016
,,,,,
BLK 117 ALJUNIED AVENUE 2,01-60,6.00,COOKED FOOD,"$2,488.00",Apr-2016
,,,,,
BLK 120 BUKIT MERAH LANE 1,01-01,8.19,COOKED FOOD,"$1,806.00",Aug-2015
,,,,,
BLK 120 BUKIT MERAH LANE 1,01-01,8.19,COOKED FOOD,"$1,800.00",Feb-2016
,,,,,
BLK 120 BUKIT MERAH LANE 1,01-05,8.19,COOKED FOOD,"$1,918.00",Apr-2016
,,,,,
BLK 120 BUKIT MERAH LANE 1,01-07,8.19,COOKED FOOD,"$2,088.00",Aug-2015
,,,,,
BLK 120 BUKIT MERAH LANE 1,01-27,8.19,COOKED FOOD,"$2,004.00",May-2015
,,,,,
BLK 120 BUKIT MERAH LANE 1,01-36,8.19,COOKED FOOD,"$2,018.00",Nov-2016
,,,,,
BLK 120 BUKIT MERAH LANE 1,01-37,8.19,HALAL COOKED FOOD,"$1,500.00",May-2015
,,,,,
BLK 120 BUKIT MERAH LANE 1,01-59,8.19,COOKED FOOD,"$2,618.00",Aug-2015
,,,,,
BLK 120 BUKIT MERAH LANE 1,01-62,8.19,HALAL COOKED FOOD,"$1,115.00",Jan-2016
,,,,,
